"age","income","gender","web_visits","purchased"
69,4258.56045354158,1,7,0
47,6582.4715748895,1,39,0
23,7819.3842608016,1,3,0
60,9015.25214570574,1,29,0
25,4619.72864391282,0,20,0
39,8912.99164877273,1,30,0
39,7579.81610111892,0,9,0
56,1172.49321378767,1,1,0
48,5962.58859219961,0,8,1
65,4596.29876865074,0,18,0
34,5466.6183036752,0,17,0
67,7147.93644892052,0,32,0
66,6735.24758312851,1,7,1
51,8901.61557262763,1,42,1
21,8255.46791730449,0,3,1
30,3557.47667327523,1,25,0
22,5821.91578182392,0,25,1
68,5957.71682891063,1,24,0
42,2822.08246085793,1,7,0
69,9537.99791680649,0,2,0
39,2360.27804389596,1,35,0
42,6209.79606034234,1,41,1
49,2865.08455150761,1,24,1
63,9726.99130093679,1,50,0
42,7799.52414799482,1,1,0
40,1119.87922806293,1,39,0
52,6881.46028458141,1,37,0
57,9811.16240820847,1,25,1
65,2456.48366562091,1,11,0
47,1078.9732481353,0,49,1
29,3962.76899776421,1,42,0
48,8842.69215120003,0,48,1
63,5149.87054979429,0,47,0
47,8705.43655683286,1,22,0
52,9117.9577971343,1,9,0
31,4168.06404781528,0,33,1
46,9726.55378445052,0,43,1
49,4332.89813413285,0,2,0
24,9451.35079324245,1,25,1
20,6750.1943311654,1,32,1
40,6854.65553659014,0,44,0
32,6107.06008318812,0,50,1
38,9286.50639927946,1,13,0
54,6350.85743060336,1,19,0
25,3035.51977965981,0,32,0
68,9150.20197909325,0,30,0
27,9525.37512476556,1,45,0
67,6316.05157977901,0,24,0
59,5002.64976522885,0,14,0
61,1175.47080526128,1,27,0
51,2464.20168853365,0,29,0
27,6952.55783991888,1,49,0
39,1126.6411524266,0,39,0
29,4361.04668769985,0,48,1
37,7971.2159470655,1,1,0
63,8203.25440214947,1,45,0
34,1920.94623856246,0,33,0
63,2717.23305177875,0,31,0
52,3527.64822915196,0,17,1
57,4609.65888737701,1,24,1
63,5905.22880433127,0,23,0
68,1558.34669573233,0,30,0
47,7727.16619540006,1,8,0
32,1620.69685920142,1,10,0
41,7927.48298170045,1,29,1
66,1364.63711224496,0,40,0
40,4095.17639037222,1,49,0
60,5587.0092343539,1,10,0
24,4931.10268423334,0,50,1
46,1027.51216175966,0,47,0
32,3427.96930181794,1,29,0
40,9056.54276697896,1,25,1
43,6539.51805317774,1,23,0
55,3318.80970019847,1,46,0
63,5941.84276368469,1,5,0
49,5552.66953259706,0,15,0
24,8014.71178629436,1,38,0
44,8961.05131693184,1,27,1
59,2809.79105364531,1,45,0
22,6565.38645247929,1,5,1
23,1599.3088176474,1,26,1
33,6970.3650905285,0,15,1
41,9617.82055767253,1,34,0
49,3359.70449866727,0,8,0
38,1694.2047753837,0,35,0
28,1880.0928236451,1,4,0
53,5242.0599469915,0,43,1
61,7654.8236424569,1,3,0
63,1610.84942216985,1,0,0
36,4776.08728292398,0,49,0
42,6341.21406567283,1,4,1
56,5499.86181594431,1,35,0
43,4311.16669857875,1,10,1
26,2843.20799587294,1,8,0
24,1939.79086494073,0,10,1
51,3599.7670146171,0,16,0
65,1939.25818032585,1,27,1
30,1098.72418036684,1,50,1
36,3365.23125320673,1,44,0
69,1443.06639162824,1,11,0
64,6208.60631205142,1,34,1
56,1522.55993173458,0,5,0
21,4581.12794090994,0,0,0
18,4856.10865661874,1,12,1
57,2574.99319850467,1,4,0
47,2288.09353802353,1,11,1
47,5045.33653706312,0,39,1
69,6862.55874717608,1,41,0
42,2515.72472136468,1,26,1
33,5626.47939636372,1,33,0
41,3097.24815469235,1,3,0
28,3781.73679346219,0,6,1
65,1519.8351573199,0,41,0
37,1487.79472685419,0,18,1
57,3840.54022375494,1,17,0
20,3260.18616021611,1,17,0
46,2237.94744233601,0,25,1
53,8325.98212151788,1,20,0
69,7394.12929187529,1,10,1
61,7149.22772091813,1,6,1
39,9856.75220401026,1,20,0
66,4398.13567046076,0,33,0
59,8342.03574596904,1,13,0
37,1111.64194415323,0,28,0
28,3997.1318943426,1,15,0
25,3820.71182178333,0,41,1
63,7978.73585112393,0,0,1
38,1015.53588267416,0,7,0
62,7957.43548846804,0,4,0
19,9657.59868128225,0,25,0
60,8557.88785335608,1,12,0
30,5621.02090613917,0,30,0
63,9420.80330965109,0,8,0
23,9067.21709552221,1,19,0
25,3995.39668322541,1,30,0
61,4878.53287532926,1,13,0
49,7553.63123887219,1,24,0
53,9829.2895311024,0,1,0
62,5853.75006776303,1,39,1
31,2659.79560557753,1,37,1
70,1703.51476268843,0,26,0
33,8190.83734811284,0,33,1
40,4672.80407436192,1,46,0
50,5460.7078989502,0,24,0
57,5835.08829260245,1,33,1
57,7897.84134505317,0,34,0
27,2794.29323319346,1,2,1
42,1832.92502141558,1,29,1
25,8395.76851041056,0,37,1
35,9886.55312196352,0,20,1
70,8561.2853677012,1,43,0
26,6569.5621825289,0,1,0
24,9489.17130241171,0,9,0
24,3787.26158873178,0,35,0
27,9840.55477543734,0,25,0
41,2059.90053038113,0,32,0
40,4663.77804917283,1,9,0
43,1572.2825631965,0,20,0
60,5479.67654606327,0,8,0
50,1311.9340101257,0,30,0
46,7689.24022931606,0,23,0
68,1386.46259065717,0,35,1
27,3094.7923597414,1,30,0
70,5642.54782116041,0,2,0
30,9599.96746224351,0,22,1
60,8820.7701803185,0,50,0
28,5082.91396894492,1,38,0
42,6744.69061638229,1,49,0
69,5753.14831803553,1,30,0
43,1240.06503261626,1,14,0
24,3105.33945518546,0,27,1
42,5807.51831457019,0,1,1
40,9269.48586571962,0,46,0
43,9398.81438203156,1,18,0
49,4366.91207950935,0,37,0
37,8603.85422920808,1,44,0
41,5920.6399244722,1,5,0
26,9706.61635696888,1,29,1
58,6966.29075636156,1,10,0
54,6963.44272606075,0,16,0
40,9552.29646293446,0,41,0
31,1004.51844302006,1,46,0
63,9145.24514786899,1,35,0
23,7657.18976571225,1,3,0
44,8348.20606722496,0,19,0
18,6259.35736321844,0,43,1
43,4196.66579202749,1,43,0
59,1385.84777805954,0,27,0
66,6422.51907754689,1,43,1
34,5029.37904046848,1,12,0
46,9247.63489165343,0,45,1
43,3257.47194490395,0,15,0
44,6328.84519081563,1,26,0
38,3958.43276474625,0,32,0
24,3874.66429686174,1,10,0
70,7131.48674392141,1,3,0
43,9509.04102087952,0,14,1
58,3492.73780360818,1,50,0
37,8006.15215534344,1,33,1
23,3315.04940451123,1,50,0
67,8594.42099230364,0,7,0
47,1653.31707638688,0,6,0
48,7419.75821391679,1,41,1
46,6115.53797591478,0,6,1
34,2232.79505083337,1,39,0
54,7382.54205882549,0,1,0
37,4817.4696022179,1,6,1
52,7446.20362552814,1,21,1
42,5106.31007771008,1,17,0
63,8945.3390056733,1,12,0
50,9755.23910671473,0,44,0
19,1081.06224471703,1,29,0
21,4517.94697996229,1,33,1
27,5619.26834238693,0,21,0
50,3306.45778821781,1,26,0
22,1819.47847479023,1,6,1
70,1760.15532249585,1,40,0
42,7558.00108122639,0,27,1
25,3050.54447310977,0,24,0
42,5787.02143067494,1,39,0
38,5632.62631953694,1,15,0
62,2283.36508222856,1,21,0
35,3659.06752739102,0,35,1
59,4175.92981643975,0,17,0
48,9453.53242661804,1,40,0
23,9277.06409315579,1,10,0
24,3703.89428292401,0,1,0
58,3646.91355614923,1,11,1
65,3189.43399377167,0,43,0
34,1380.43750054203,1,16,0
70,2392.91196758859,1,5,0
62,8757.69406650215,1,40,0
45,8293.59842487611,0,0,1
70,8910.56745569222,0,16,0
57,8467.74087660015,0,31,0
70,3446.86106801964,0,43,0
24,1741.38419702649,1,41,0
37,9558.53851442225,0,44,0
35,1907.67372958362,1,19,0
46,4906.42094658688,0,1,0
34,8384.29061719216,0,36,0
50,1911.95507370867,1,8,0
19,9637.46273890138,0,50,0
66,4418.08094340377,0,22,0
19,2901.90818835981,1,4,1
30,6403.45343924128,1,23,1
41,1442.10970844142,1,25,1
66,7417.92211402208,1,29,0
20,5946.8799836468,1,20,0
35,6849.39341968857,1,3,0
19,9220.32520733774,0,1,0
54,9026.23612480238,0,40,1
29,2973.06769853458,1,33,1
30,6321.84571912512,0,17,1
59,2049.45308528841,1,18,0
23,7276.0909225326,0,14,1
59,9293.43799222261,0,23,1
59,8627.09500454366,0,22,0
55,3886.12910383381,1,17,0
65,4905.59581108391,1,16,0
33,3399.43866129033,0,45,1
52,2928.75914159231,1,20,0
53,5558.14161407761,1,11,0
44,4500.22036954761,0,45,0
44,4784.76387704723,1,0,0
52,1820.85290364921,0,40,0
40,7100.56180646643,0,21,0
20,5678.3627148252,1,11,1
48,8963.45718717203,1,36,0
65,7235.18353654072,0,23,1
19,2665.23408610374,0,21,0
64,2327.68282364123,1,13,0
40,1457.36595615745,0,33,0
20,2730.65421590582,1,38,1
26,9038.55870431289,1,26,1
56,2204.56462912261,1,44,0
47,9860.50345981494,1,9,0
48,5354.81914016418,0,32,0
47,4327.609595377,1,28,0
26,9295.26718542911,0,16,0
53,8436.82495388202,0,45,0
51,3371.2010961026,0,47,1
39,5236.68460943736,1,50,0
61,3383.37252684869,1,5,0
58,2092.13058254682,0,10,0
45,5409.076632699,1,18,0
46,5330.88079770096,0,13,0
60,2481.95815109648,0,4,1
56,8574.5450607501,0,22,0
62,8604.46427669376,1,1,0
54,8179.35325857252,1,22,0
60,4432.25224805064,1,42,1
50,6964.55016825348,1,31,1
36,8838.85503746569,1,17,0
29,6112.28788876906,1,40,0
51,7648.61856144853,0,4,0
38,7137.35443237238,0,27,1
34,8080.1313566044,0,8,0
29,5971.10610408708,0,49,0
47,1625.96612167545,1,13,0
52,3935.67925458774,1,10,0
47,1417.71221999079,0,9,1
42,8110.91266595758,1,38,0
67,5711.62760094739,1,49,1
64,6958.20706663653,0,21,0
20,4240.52108707838,1,47,1
68,9847.50458225608,0,30,0
35,4304.89684431814,1,20,1
49,6374.19112352654,0,31,1
34,5133.69809929281,0,24,1
55,6138.48641142249,0,33,0
59,9507.38920969889,0,30,0
57,9169.45821978152,1,23,0
59,3899.00158648379,0,42,0
49,1912.03771508299,1,22,0
43,3415.70586082526,0,33,0
30,8496.36505288072,1,18,1
37,9533.50703138858,0,4,0
55,2015.20507317036,1,35,1
37,6296.38570081443,0,22,0
46,8679.54446608201,0,22,0
37,6361.95439356379,1,5,1
47,7296.39135138132,1,18,1
58,1878.89027199708,0,28,1
65,7223.48234732635,1,27,0
25,7958.29793810844,1,25,0
56,1352.49113524333,1,12,0
27,8908.55878288858,1,50,0
34,2115.71267736144,0,2,0
35,7862.29407717474,1,13,0
57,9780.45993275009,1,23,0
68,2126.44943222404,1,13,0
59,5458.66331178695,1,46,1
28,9338.7068156153,1,12,1
66,1432.033858262,1,29,0
61,4446.40860147774,0,38,1
19,4774.5114620775,0,50,0
36,9701.79708953947,0,42,1
30,4328.33880418912,1,39,1
30,7110.47186260112,0,4,0
48,9694.3197613582,0,24,0
47,6952.57444656454,1,41,1
68,5589.66401987709,1,50,0
39,9798.94919367507,1,50,1
47,9742.56174638867,1,19,1
27,8978.86588284746,1,26,0
33,6709.36925755814,0,3,0
22,7097.40546671674,1,2,1
53,2145.87445720099,1,4,0
67,2943.23611538857,0,10,0
50,6512.20759982243,1,18,0
33,8347.36912790686,1,34,1
45,3976.79916583002,1,17,0
66,8010.7202171348,1,31,0
29,7969.65494123287,0,25,1
70,3735.28363648802,0,22,0
45,6230.83285614848,1,20,1
19,4719.36208056286,0,0,0
67,4398.80193956196,1,26,1
29,4524.42709845491,0,4,1
64,9730.53683340549,0,33,1
68,1451.0053594131,0,3,0
70,2104.17332802899,0,11,0
23,7760.78701904044,0,11,0
33,1952.13451655582,1,40,1
32,1614.6560634952,0,0,1
36,3057.46486783028,1,49,0
20,6716.12463565543,1,44,1
63,4372.91339435615,1,32,1
50,1548.87582827359,0,44,0
50,2092.8375122603,1,10,0
65,8475.11509479955,1,24,1
28,7950.0005308073,0,24,1
53,8151.12383640371,1,45,1
61,3213.70542468503,0,6,0
62,9724.85542017967,0,1,1
27,4716.133560054,0,40,0
59,2060.60450756922,0,37,0
41,2913.70450588875,0,46,1
45,8471.67229303159,0,7,1
56,7687.85917456262,1,34,1
35,4732.46240220033,1,38,0
34,8585.97398689017,0,42,0
37,6269.40922229551,0,20,0
26,6034.98688898981,1,28,1
70,4054.39191241749,1,35,0
28,8175.17273616977,1,9,1
61,6948.51386290975,0,35,0
25,3578.64066236652,1,30,0
67,2198.8897935953,1,27,0
22,4230.618448928,0,7,0
46,2651.44249214791,0,28,1
67,6976.14725632593,0,50,1
23,8146.58414106816,1,0,0
27,7552.05217632465,0,38,0
43,1017.5494379364,0,8,0
26,1569.99827036634,0,17,0
28,4532.62446145527,1,22,1
23,8870.54884899408,0,17,0
49,3956.59237750806,1,35,1
29,3415.9809674602,1,8,0
36,7950.88572683744,1,12,0
44,4662.20597503707,1,44,0
49,6999.65317640454,1,36,0
44,5417.17147873715,0,21,0
47,1790.44360411353,0,22,0
21,1942.25971470587,1,37,0
41,9378.52210667916,1,3,0
45,7928.9433627855,0,32,0
20,8690.08426507935,1,25,0
63,4778.29045988619,0,32,0
57,9322.7085180115,0,9,0
23,5745.18956267275,0,15,0
53,2487.71393694915,1,22,1
59,4030.93306929804,1,6,0
65,9744.26593189128,1,15,1
47,7169.11641601473,0,46,0
65,8974.16526754387,1,37,0
69,6887.42305943742,1,7,0
27,8886.90217887051,1,10,1
42,8614.25364599563,1,14,1
55,2017.95603265055,1,1,0
68,3296.64980480447,0,35,1
53,5255.9306116309,0,19,0
58,9126.6272184439,1,22,1
42,6172.03787900507,0,40,0
21,5642.51619623974,0,9,0
32,1770.1890997123,1,25,0
69,1590.49183293246,1,43,1
39,4781.48830472492,1,40,0
70,3175.64374301583,1,36,0
66,8034.11607025191,0,5,0
41,7430.46761862934,1,28,0
56,6612.24194080569,1,6,0
64,2218.29566592351,1,12,0
54,6357.92546207085,0,11,0
63,1277.81116706319,1,13,1
64,9334.2192012351,1,0,1
32,4564.2498054076,0,45,1
33,3027.13453420438,1,32,1
36,7248.52286186069,0,15,0
25,8075.23673167452,0,28,0
48,8487.86713997833,0,21,1
54,8714.4049522467,1,3,1
56,1569.25215316005,1,27,1
69,1860.27274490334,1,7,1
65,7694.01333341375,1,35,1
33,1209.3185018748,1,15,0
26,3650.21765627898,0,27,0
28,8484.55298994668,1,47,0
60,2630.4364495445,0,48,1
68,4609.15194777772,1,23,0
47,3690.23162568919,0,19,0
27,9925.24938704446,1,43,0
51,5043.29381068237,1,28,0
55,6624.98294911347,1,49,0
37,5546.78887105547,1,10,1
63,5401.14849014208,0,10,0
31,4939.17664256878,1,15,1
23,1375.59871794656,1,23,0
35,2810.07888400927,0,42,0
19,2882.28954561055,1,16,0
25,6413.9674785547,0,25,1
28,1755.94287551939,1,33,0
38,6444.3237290252,0,46,0
24,9980.24848941714,0,1,1
68,6232.89415054023,0,17,0
40,1903.03835901432,0,36,0
25,4442.50859203748,1,4,1
27,7595.46542237513,1,12,0
54,6057.14504932985,1,16,0
34,9191.07985449955,0,20,0
23,1630.79468254,1,23,1
57,4357.36264637671,0,42,1
69,3189.91750804707,1,12,1
23,6016.61053020507,1,33,1
64,1535.03013961017,0,35,0
45,2256.93077244796,0,50,0
49,2618.85754182003,0,1,0
66,5478.53860631585,0,36,0
52,4316.76351954229,0,9,0
45,4231.42832936719,1,24,1
64,9788.5363867972,1,39,0
37,3030.59307928197,0,3,0
18,5555.26763130911,1,10,0
22,7522.64791727066,1,44,0
28,4746.61000911146,0,44,0
64,2822.46281276457,0,19,0
37,3416.77648550831,0,42,1
19,1550.53132749163,0,41,1
65,2885.46580914408,0,44,1
68,8152.68908976577,1,49,1
27,3944.0406053327,0,48,0
68,6220.367341768,0,36,0
66,8910.2252246812,0,10,0
24,1470.79828288406,1,21,0
55,8850.7810481824,1,25,0
61,3166.94388492033,1,43,0
53,4388.90590006486,1,16,0
70,8224.15302228183,1,29,1
40,5822.6598831825,0,48,0
68,2433.32155235112,0,38,0
51,6327.70767016336,1,16,0
41,8027.19177375548,0,46,1
21,4076.50487334467,1,33,1
46,4344.89026549272,0,33,0
40,4992.81541025266,1,49,0
28,1702.91489711963,1,16,0
50,5570.61604852788,1,44,0
68,7129.97509911656,0,17,0
67,8784.48482090607,1,36,1
65,1057.66199110076,1,28,0
20,5911.07891802676,0,22,0
50,3329.81019793078,0,27,1
47,8109.81477075256,1,45,0
51,5191.65534083731,0,50,0
19,9606.75167827867,1,16,1
57,6391.56481390819,0,31,0
37,3711.55723463744,0,29,0
31,6412.70831553265,0,49,0
42,7898.01238616928,0,44,0
62,5910.4805465322,1,26,0
24,3516.92816475406,1,48,1
57,9252.70922249183,1,43,1
52,1250.5265949294,0,10,1
48,9611.14184465259,0,34,1
39,1742.5311494153,0,47,0
33,9698.68170167319,1,38,0
39,5499.22306463122,1,31,1
46,1853.88437472284,0,47,0
50,8199.21425986104,0,40,1
61,2889.89612692967,1,8,0
67,6004.60078427568,1,16,1
70,1936.65373022668,1,1,0
48,7415.11607496068,0,2,0
63,4040.29583116062,0,20,0
25,9796.81713087484,0,17,1
41,6579.5195880346,0,34,1
47,1490.75257056393,1,39,1
40,6167.74512291886,1,15,1
54,9591.97285748087,1,44,0
49,4677.2439328488,0,30,0
34,8090.27366060764,1,8,1
43,4944.62661258876,1,48,0
60,7293.64747880027,1,45,0
40,4041.4865098428,0,2,1
43,4959.63039738126,0,37,0
53,2752.43971473537,0,30,0
62,7089.3422937952,1,9,1
25,3084.2373392079,0,17,0
32,9429.90352306515,1,3,0
53,2831.83922036551,0,23,0
62,6388.86822783388,1,42,0
20,3754.03024698608,1,32,1
56,9437.77011102065,1,7,0
50,1734.19432621449,0,24,1
55,7102.65510296449,1,11,0
62,9020.70064470172,0,49,1
43,4828.87492701411,0,9,0
45,9770.3059297055,1,5,0
43,5464.26674397662,0,45,1
34,1857.58086107671,0,28,0
40,8722.25413308479,0,2,0
70,9058.19631949998,1,25,1
55,1885.20295359194,1,46,0
27,5905.73351853527,0,35,1
62,6191.61064340733,0,27,0
55,5596.05017723516,0,0,0
58,6853.86505187489,0,32,1
25,5709.76906479336,1,21,1
18,8410.66792374477,1,31,1
33,7085.97726770677,0,42,0
19,1664.70147995278,1,19,0
57,5868.14396642148,0,45,0
31,4203.35475401953,1,47,0
29,2751.77725311369,1,12,0
43,7630.92668983154,0,49,0
25,5994.27353357896,0,23,1
58,1749.08086494543,1,40,1
25,8281.78994101472,1,27,0
26,9414.96166796423,1,20,0
69,4660.76294658706,1,37,1
50,2552.9403463006,1,6,0
20,1993.57114639133,0,15,0
57,4747.4418040365,0,40,1
19,1444.04549221508,0,15,1
18,8946.29238429479,0,43,0
26,7599.34908081777,1,18,1
24,8767.19400659204,1,47,1
30,5270.64803498797,1,30,0
46,1452.33395812102,0,48,0
37,3488.58306184411,1,27,1
31,8721.47924290039,0,20,1
33,6303.20536810905,1,42,0
24,2769.93300649337,0,24,1
53,3188.94946528599,1,38,0
62,3403.91066018492,1,1,0
29,5204.5912493486,1,18,0
42,6868.58104402199,1,37,0
44,6512.62135151774,0,37,0
30,2384.23396321014,0,43,1
37,1186.57321017236,1,14,0
27,2483.45978162251,0,5,0
47,2462.31072489172,0,5,1
58,2362.57848655805,1,37,0
29,1838.30106095411,0,11,0
25,9333.3467876073,1,37,0
24,1971.87430714257,0,33,0
32,3376.67164998129,1,21,0
36,9457.56043400615,0,46,0
66,1860.72716559283,0,40,1
60,8935.43574935757,0,1,0
56,1240.2305835858,0,1,1
68,7998.99708619341,1,11,0
40,2940.07014273666,1,19,0
52,4198.59510287642,1,36,0
23,3148.85281259194,0,44,1
24,8937.08259006962,1,5,0
21,2472.64071018435,0,46,1
27,1999.14191430435,0,21,0
34,9407.73711493239,1,26,1
65,1206.715361448,1,37,1
25,9654.16497597471,1,10,1
70,1011.11306040548,0,9,1
20,7942.8202342242,0,40,1
61,6309.1902313754,0,50,0
70,8432.4495815672,1,16,0
63,5630.91796194203,0,40,0
54,5963.06081814691,0,18,1
31,2932.63456481509,0,30,0
45,9550.31814309768,1,50,0
23,7188.71728074737,1,26,1
26,7952.28679967113,1,9,0
50,5652.07343082875,0,27,1
69,9444.63866157457,1,8,0
63,4430.01835350879,0,29,1
36,5296.64531862363,0,16,0
54,9088.36798579432,0,6,1
51,6168.56693709269,0,6,0
18,9325.53151575848,1,20,0
45,4663.77317719162,0,1,0
69,8662.5346802175,1,44,0
47,8593.01735041663,0,11,0
21,7521.48688328452,0,21,0
43,3426.40737397596,0,3,1
28,2424.70848257653,0,42,0
22,7257.45862023905,0,13,0
53,4617.46804672293,0,22,1
36,4008.64398363046,1,23,0
52,5340.61503713019,1,44,1
50,2302.36409069039,1,9,0
56,6035.08858033456,1,40,1
22,4412.07068716176,0,1,1
40,8813.78205562942,1,12,0
58,7718.15249370411,0,14,0
42,1700.92852646485,0,49,1
66,4104.22369092703,0,48,0
38,1788.49181509577,1,11,0
22,2615.78898364678,1,5,0
29,5284.53564574011,0,45,0
19,5411.72974393703,1,13,0
35,1635.92249411158,1,20,1
21,5981.81721870787,1,37,0
59,8811.45972781815,1,39,0
64,4065.88026834652,0,19,0
40,4899.10572441295,0,36,0
25,3541.75986093469,0,41,0
18,1031.88450611196,1,5,0
28,5081.36098249815,1,14,1
54,4651.79285593331,1,14,0
28,7577.48911925592,0,17,1
32,6253.45087284222,0,45,0
32,9600.97186570056,0,18,0
59,2982.51286498271,1,1,1
32,3745.44565263204,0,13,0
32,1925.115569029,0,9,0
69,3437.6101961825,0,28,1
61,5546.76896822639,0,34,0
58,2793.91079419293,1,6,0
42,9005.52052352577,0,14,1
53,7866.73390422948,1,29,1
20,3842.24427095614,1,23,0
24,7029.93259835057,0,13,0
21,8799.10341114737,0,31,0
57,5857.35783586279,1,40,0
70,9274.81051371433,1,22,1
54,9830.00761293806,0,38,0
41,1927.93399025686,1,27,1
55,4392.14337663725,0,20,0
21,8259.83950099908,1,32,0
20,2978.98430377245,1,37,1
28,5113.05003310554,1,18,0
27,2865.47929514199,0,41,0
46,6373.60053882003,1,18,1
40,3956.99654449709,0,49,0
22,9643.48418288864,1,7,1
41,3892.98982988112,1,13,0
49,8529.21192510985,0,50,1
42,2080.92399896123,0,13,0
28,3832.66560174525,1,10,0
27,5810.29541930184,1,4,0
32,1600.29588104226,1,29,0
68,3461.84910740703,0,40,0
48,6775.66088945605,1,2,1
27,6255.94023312442,1,3,0
62,7309.91812748834,0,46,0
41,4758.43792431988,0,41,0
52,8987.90370975621,0,3,0
67,4740.79159996472,1,0,0
27,9311.99597637169,0,16,0
25,7647.64152700081,1,10,0
61,6267.65682827681,1,38,1
59,6998.24001267552,1,49,0
49,6098.79272081889,1,42,0
56,3792.06989472732,1,27,0
24,7032.64209046029,0,1,0
55,8999.86989703029,1,18,0
34,8746.25329044648,0,36,0
37,2691.62525213324,0,0,1
50,6098.2689273078,1,48,1
54,6065.30391215347,1,27,0
27,4137.56757858209,1,50,0
62,1334.97409336269,1,18,0
27,2313.09870397672,1,25,0
19,9021.28685405478,1,8,1
32,5548.96983178332,1,1,1
40,8225.53851525299,0,15,0
64,5445.15036582015,1,3,0
57,8496.73010781407,1,26,1
52,5501.50343682617,0,23,0
19,6744.38087781891,0,28,0
23,4120.57325732894,1,29,1
63,3347.07852778956,1,47,0
64,3495.33441243693,0,12,0
68,8223.70842308737,1,45,0
26,8404.92925583385,0,27,1
40,5286.8683943525,1,40,0
42,4986.63418623619,1,22,0
32,8269.53629008494,1,2,0
39,9464.02341360226,1,43,0
65,8073.12389486469,1,34,0
25,2951.46919577383,1,32,0
46,3695.60286449268,1,12,0
58,1293.35869848728,1,50,1
38,2699.75585117936,1,16,0
65,4928.06210904382,1,14,1
26,2664.45420240052,0,35,0
51,8371.90809869207,1,21,0
58,1395.46806761064,0,17,0
60,4951.08862826601,1,7,0
28,9323.07747891173,1,19,1
21,1514.65507829562,1,27,1
24,1956.64830552414,0,33,0
67,3520.51840000786,0,50,0
28,9375.13575702906,0,41,1
50,5359.86824356951,1,39,1
28,7896.02092560381,0,8,0
55,9135.41904068552,0,49,0
38,1507.80074764043,1,42,0
27,8824.10923717543,1,3,0
67,3189.0197286848,0,30,1
20,8122.15452687815,0,2,1
52,9817.09068943746,0,23,0
51,7131.84455269948,0,35,0
57,4400.04322817549,0,39,0
45,2871.43270112574,1,49,1
30,1698.42170877382,1,24,1
25,8122.24777764641,0,18,0
19,6800.35144067369,1,1,1
23,8996.17777764797,0,42,0
40,8373.08831675909,1,41,0
34,7939.15247474797,0,37,0
49,7906.59835725091,0,1,0
31,8922.79943730682,0,2,0
24,3805.18299038522,1,50,0
30,6575.29230508953,1,12,0
25,7522.39069971256,1,21,0
55,8612.12815670297,0,7,0
28,9171.88269365579,1,5,0
59,9277.98694907688,0,7,1
34,1947.39074073732,0,27,0
24,2498.06236452423,1,7,1
61,5740.06783426739,0,10,0
36,9420.7181558013,0,42,0
66,4239.32654224336,1,13,0
57,8000.42511732318,0,45,1
32,2281.95040556602,0,18,1
63,7837.39493181929,1,4,1
31,1605.54671380669,0,23,0
43,5763.83398310281,1,25,0
44,2101.72028653324,0,48,0
34,2528.07113272138,0,32,0
50,4494.8454699479,0,24,0
67,1950.70035615936,1,33,0
35,2478.99561352096,1,8,0
37,6570.45660912991,1,15,0
44,1597.67295513302,1,31,0
59,4983.55948831886,1,11,1
27,7157.42746856995,0,15,0
70,8709.11895530298,0,44,0
26,4329.76425578818,1,37,0
48,5441.40403647907,0,47,0
36,6770.31258144416,1,32,1
67,4197.57897732779,0,14,0
